"Iteration"	"logProb"	"currentDecryptedText"	"correctText"
420	0.000851690484171738	"lxox ub h bhazgx sxqs"	0
421	0.000851690484171738	"lxox ut h thazgx sxqs"	0
422	0.000851690484171738	"lxox ut h thazgx sxqs"	0
423	0.000851690484171738	"lxox bt h thazgx sxqs"	0
424	0.000851690484171738	"lxox bt h thazgx mxqm"	0
425	0.000851690484171738	"lxox bt h thjzgx mxqm"	0
426	0.000851690484171738	"lxox bt h thjzgx mxqm"	0
427	0.000851690484171738	"lxox bt h thjzgx mxqm"	0
428	0.000851690484171738	"lxox by h yhjzgx mxqm"	0
429	0.000851690484171738	"lxox by h yhpzgx mxqm"	0
430	0.000851690484171738	"jxox by h yhpzgx mxqm"	0
431	0.000851690484171738	"jxox by h yhpzgx mxqm"	0
432	0.000851690484171738	"jxox by h yhpzgx mxqm"	0
433	0.000851690484171738	"jxox by h yhpzgx mxim"	0
434	0.000851690484171738	"jxox by h yhpzgx mxwm"	0
435	0.000851690484171738	"jxex by h yhpzgx mxwm"	0
436	0.000851690484171738	"jxex by h yhpzgx mxwm"	0
437	0.000851690484171738	"jxex by h yhpzgx mxwm"	0
438	0.000851690484171738	"jxex bp h phyzgx mxwm"	0
439	0.000851690484171738	"jxex bp h phykgx mxwm"	0
440	0.000851690484171738	"jxox bp h phykgx mxwm"	0
441	0.000851690484171738	"jxox bp e peykgx mxwm"	0
442	0.000851690484171738	"jxox bp g pgykex mxwm"	0
443	0.000851690484171738	"jxox kp g pgybex mxwm"	0
444	0.000851690484171738	"jxox hp g pgybex mxwm"	0
445	0.000851690484171738	"jxox hl g lgybex mxwm"	0
446	0.000851690484171738	"jfof hl g lgybef mfwm"	0
447	0.000851690484171738	"jfof hl g lgybef mfwm"	0
448	0.000851690484171738	"jfof hl g lgybef mfwm"	0
449	0.000851690484171738	"jfof dl g lgybef mfwm"	0
450	0.000851690484171738	"dfof jl g lgybef mfwm"	0
451	0.000851690484171738	"dfof vl g lgybef mfwm"	0
452	0.000851690484171738	"dfof wl g lgybef mfvm"	0
453	0.000851690484171738	"dfof wl g lgybef mfim"	0
